"","V1","V2"
"614","Actn3","darkseagreen4"
"615","Cyp2f2","greenyellow"
"616","Gpd1","magenta"
"617","Brdt","black"
"618","Tmie","black"
"619","Gm16740","black"
"620","Paqr9","magenta"
"621","Ankrd35","darkorange"
"622","Pak3","black"
"623","Gm2083","magenta"
"624","Sox6","magenta"
"625","Cd7","black"
"626","H2.Ob","black"
"627","Gm16982","lightsteelblue1"
"628","Prss53","grey"
"629","Gm16845","black"
"630","Rep15","black"
"631","Cahm","plum2"
"632","Pitpnm3","black"
"633","Slc44a3","magenta"
"634","Nckap5","thistle"
"635","Reg3g","lightgreen"
"636","Ppp1r26","darkseagreen4"
"637","Mterf1b","midnightblue"
"638","Cd226","grey"
"639","Nos1","antiquewhite4"
"640","Mfrp","black"
"641","AW046200","white"
"642","Has3","lavenderblush2"
"643","Pcsk4","black"
"644","Setd4","black"
"645","Sorbs2os","black"
"646","Sox8","midnightblue"
"647","Pnck","black"
"648","Gm9958","black"
"649","Zcwpw1","black"
"650","Mcrip2","black"
"651","Tube1","indianred4"
"652","Nipal1","darkmagenta"
"653","Tmem191c","honeydew1"
"654","Dnajc6","black"
"655","Armc2","black"
"656","Trnp1","black"
"657","Slc38a4","darkslateblue"
"658","Gzma","orange"
"659","Trem1","black"
"660","Htr7","black"
"661","Fam227a","black"
"662","Olfr111","grey"
"663","Susd5","indianred4"
"664","Nrg4","black"
"665","Gm6225","coral1"
"666","Ank1","darkseagreen4"
"667","X2010016I18Rik","thistle"
"668","Mcemp1","black"
"669","X1700034H15Rik","ivory"
"670","Prss12","grey"
"671","Arl14epl","orange"
"672","Ppp4r4","salmon4"
"673","Kiss1r","black"
"674","Gdf15","black"
"675","AI115009","black"
"676","B330016D10Rik","darkgrey"
"677","Capns2","black"
"678","Cd3e","black"
"679","F630042J09Rik","grey"
"680","Gm17745","black"
"681","Gm19466","skyblue"
"682","Gm3716","thistle2"
"683","H2afy3","red"
"684","Mlf1","lightgreen"
"685","Mns1","antiquewhite4"
"686","Padi4","black"
"687","Piwil4","grey"
"688","Slc6a7","midnightblue"
"689","Tspyl5","midnightblue"
"690","Mmp10","black"
"691","Sele","black"
"692","Soat2","white"
"693","C030034L19Rik","grey"
"694","Gm4961","orange"
"695","Gpr137c","darkturquoise"
"696","Hook1","greenyellow"
"697","Siglecf","black"
"698","Zc2hc1c","black"
"699","Echdc3","black"
"700","Gpt","black"
"701","Dpyd","lightsteelblue1"
"702","Calr3","black"
"703","Fam124b","brown4"
"704","Spock2","grey"
"705","Hrh2","mediumpurple2"
"706","Hoxb9","ivory"
"707","Tlr12","palevioletred3"
"708","Moap1","skyblue"
"709","Ffar2","magenta"
"710","Gfra4","lightgreen"
"711","Bmp15","lightsteelblue"
"712","X1700088E04Rik","black"
"713","Dclk3","black"
"714","Sprn","ivory"
"715","Arhgef4","black"
"716","Gdf10","greenyellow"
"717","Hotairm1","black"
"718","Spic","thistle"
"719","Rab36","white"
"720","Kcnn1","lightgreen"
"721","Prox2","grey"
"722","Gm4787","red"
"723","Map7","white"
"724","Gm19897","darkolivegreen4"
"725","Gm3636","plum"
"726","Fcrl1","black"
"727","Klri2","maroon"
"728","Rorb","grey"
"729","Alyref2","skyblue2"
"730","Dusp9","lightcoral"
"731","Ccdc136","black"
"732","Tarm1","black"
"733","Pcdh20","greenyellow"
"734","Zfp300","black"
"735","Tmem100","greenyellow"
"736","Scd1","magenta"
"737","Cngb1","black"
"738","Hist2h2bb","black"
"739","Celsr1","black"
"740","Plp1","black"
"741","Ppl","greenyellow"
"742","Cdh23","thistle1"
"743","Casq2","darkseagreen4"
"744","Arhgef37","black"
"745","Fgfr3","black"
"746","Rasgef1a","grey"
"747","Haao","black"
"748","Klrb1c","orange"
"749","Ahrr","orange"
"750","Glb1l2","magenta"
"751","Slc9a4","greenyellow"
"752","Gm996","black"
"753","Clec3b","grey"
"754","Fam72a","black"
"755","Eps8l2","black"
"756","Agbl2","black"
"757","Acsbg1","black"
"758","X1700034J05Rik","skyblue"
"759","Sema4g","black"
"760","Zbtb12","antiquewhite4"
"761","Ccdc85c","black"
"762","Cavin4","navajowhite2"
"763","Gm12992","grey"
"764","Adgre4","darkslateblue"
"765","Osbpl10","black"
"766","Cdh24","black"
"767","Pex11a","magenta"
"768","Amy1","magenta"
"769","X2810001G20Rik","black"
"770","Rnf113a1","white"
"771","Cntn2","grey"
"772","Lgi3","floralwhite"
"773","X2610318N02Rik","black"
"774","Cd8b1","orange"
"775","Fbxo48","grey"
"776","Fgf23","magenta"
"777","Gbp11","maroon"
"778","Gp1ba","salmon2"
"779","Sv2b","grey"
"780","Tex14","darkorange"
"781","Tomt","black"
"782","Dnph1","black"
"783","Tnfaip8l3","brown4"
"784","X4932416H05Rik","thistle3"
"785","Mmp27","black"
"786","A2m","darkmagenta"
"787","Zfp558","plum"
"788","Arhgap20","magenta"
"789","Lrriq3","black"
"790","X2900005J15Rik","lavenderblush2"
"791","Grin2a","darkmagenta"
"792","Slc2a4","magenta"
"793","Fitm2","grey"
"794","X4930513N10Rik","black"
"795","X4931440P22Rik","black"
"796","Macrod1","black"
"797","Trp53cor1","black"
"798","Gm16897","blue2"
"799","Brinp1","lightsteelblue"
"800","Serpinb2","indianred4"
"801","Map3k15","black"
"802","Kng2","black"
"803","Ppp1r14a","black"
"804","Atg9b","honeydew1"
"805","Zfp185","salmon2"
"806","Gm16523","thistle"
"807","Gabra3","plum"
"808","Gm11696","black"
"809","Gm3317","coral2"
"810","Gm3488","coral2"
"811","Scnn1a","magenta"
"812","Plekhg4","black"
"813","Shmt1","grey"
"814","Lyrm7","black"
"815","Mal2","darkmagenta"
"816","Ocstamp","black"
"817","Cadm2","antiquewhite4"
"818","Pla2g4c","black"
"819","Cenpk","darkorange2"
