"V1" "V2"
"584" "Dzank1" "brown4"
"585" "X9330102E08Rik" "indianred4"
"586" "Homer2" "blue"
"587" "Ebf4" "brown"
"588" "Crmp1" "grey"
"589" "Ngef" "brown4"
"590" "Hspa1l" "brown"
"591" "X1700037C18Rik" "brown"
"592" "BC065397" "darkorange2"
"593" "C130036L24Rik" "brown"
"594" "Cdkn2a" "brown4"
"595" "Fam19a1" "indianred4"
"596" "Mak" "greenyellow"
"597" "Morn4" "darkviolet"
"598" "Myh15" "brown4"
"599" "Pdzd9" "darkgrey"
"600" "Snord17" "brown4"
"601" "Trim66" "brown"
"602" "Xkr5" "brown4"
"603" "Begain" "darkolivegreen4"
"604" "AU040972" "lightyellow"
"605" "Nlgn3" "brown"
"606" "Recql4" "brown4"
"607" "Tas1r3" "grey"
"608" "Celsr3" "brown"
"609" "Fbxl21" "brown"
"610" "Efcab2" "black"
"611" "Gzme" "darkslateblue"
"612" "A330035P11Rik" "maroon"
"613" "Dnah6" "grey"
"614" "Actn3" "darkorange2"
"615" "Cyp2f2" "lightsteelblue"
"616" "Gpd1" "darkolivegreen"
"617" "Brdt" "paleturquoise"
"618" "Tmie" "honeydew"
"619" "Gm16740" "plum3"
"620" "Paqr9" "darkolivegreen"
"621" "Ankrd35" "brown2"
"622" "Pak3" "brown4"
"623" "Gm2083" "darkolivegreen"
"624" "Sox6" "darkolivegreen"
"625" "Cd7" "brown"
"626" "H2.Ob" "brown4"
"627" "Gm16982" "violet"
"628" "Prss53" "brown4"
"629" "Gm16845" "brown"
"630" "Rep15" "brown4"
"631" "Cahm" "brown4"
"632" "Pitpnm3" "brown4"
"633" "Slc44a3" "darkolivegreen"
"634" "Nckap5" "paleturquoise"
"635" "Reg3g" "maroon"
"636" "Ppp1r26" "brown4"
"637" "Mterf1b" "brown4"
"638" "Cd226" "grey"
"639" "Nos1" "grey"
"640" "Mfrp" "black"
"641" "AW046200" "grey"
"642" "Has3" "yellow4"
"643" "Pcsk4" "brown4"
"644" "Setd4" "black"
"645" "Sorbs2os" "brown4"
"646" "Sox8" "brown"
"647" "Pnck" "violet"
"648" "Gm9958" "palevioletred3"
"649" "Zcwpw1" "brown"
"650" "Mcrip2" "paleturquoise"
"651" "Tube1" "darkolivegreen"
"652" "Nipal1" "brown"
"653" "Tmem191c" "orangered3"
"654" "Dnajc6" "brown4"
"655" "Armc2" "brown4"
"656" "Trnp1" "brown4"
"657" "Slc38a4" "darkorange2"
"658" "Gzma" "steelblue"
"659" "Trem1" "mediumpurple3"
"660" "Htr7" "brown4"
