"","V1","V2"
"711","LAIR1","grey"
"712","PCDHB16","grey"
"713","APLN","floralwhite"
"714","ZBED9","grey"
"715","ZBTB8B","black"
"716","PRKAG3","grey"
"717","CLDN8","lightcyan1"
"718","FAM3B","grey"
"719","ARNT2","black"
"720","STUM","darkgrey"
"721","EGF","grey"
"722","SPSB4","paleturquoise"
"723","SLCO1A2","grey"
"724","PTHLH","grey"
"725","BRINP2","grey"
"726","CLDN1","grey"
"727","STRA6","grey"
"728","GDF5","green"
"729","BASP1","saddlebrown"
"730","POU3F2","green"
"731","ACSL6","pink"
"732","LPAR5","bisque4"
"733","AEBP1","cyan"
"734","OLFM3","grey"
"735","GRIN2D","grey"
"736","MEGF10","grey"
"737","GUCY1B2","grey"
"738","LINC00092","darkgreen"
"739","SLC6A17","grey"
"740","HMGA2","yellow"
"741","ANO2","cyan"
"742","NTSR1","darkslateblue"
"743","ENPP6","maroon"
"744","NPY4R","grey"
"745","BATF","yellow"
"746","C12orf56","darkgreen"
"747","TWIST2","darkgrey"
"748","TMEM213","grey"
"749","HOXA6","grey"
"750","ELFN1.AS1","grey"
"751","TIMP3","grey"
"752","CD200","grey"
"753","COCH","paleturquoise"
"754","HLA.DRA","lightgreen"
"755","ITIH5","plum2"
"756","LINC02487","green"
"757","TNFSF9","darkslateblue"
"758","C7orf55.LUC7L2","darkslateblue"
"759","COL9A1","thistle1"
"760","TAGAP","navajowhite2"
"761","STK33","grey"
"762","PCSK5","grey"
"763","DLGAP1","white"
"764","HAS2.AS1","black"
"765","PCP4","grey"
"766","RELN","grey"
"767","NKX6.1","grey"
"768","COL23A1","thistle1"
"769","DENND2A","darkgreen"
"770","IRX4","black"
"771","LURAP1","grey"
"772","FNDC11","darkslateblue"
"773","CEACAM6","yellow"
"774","CLEC7A","grey"
"775","KRT40","grey"
"776","MEAT6","grey"
"777","SYT17","yellow"
"778","CYP4X1","green"
"779","CPVL","plum1"
"780","IGFBP7","green"
"781","NTF4","brown4"
"782","INPP4B","yellow"
"783","KRT4","bisque4"
"784","LOC392196","palevioletred3"
"785","S100B","green"
"786","RAB39B","grey"
"787","LHX2","grey"
"788","SGIP1","grey"
"789","SIM1","grey"
"790","CLEC2B","grey"
"791","DLGAP1.AS5","white"
"792","ROBO2","navajowhite2"
"793","DIRAS2","grey"
"794","BMP5","grey"
"795","FAIM2","grey"
"796","BNC1","darkgrey"
"797","SOX8","green"
"798","RBP7","darkgreen"
"799","ANKRD29","grey"
